Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	0.4	0.	0.
2	0.3	0.4	0.	2.1069e-007
5	0.	0.2	0.	0.
6	0.3	0.2	0.	-1.0772e-007
2	0.3	0.4	0.	2.1069e-007
3	0.6	0.4	0.	-1.1387e-006
6	0.3	0.2	0.	-1.0772e-007
7	0.6	0.2	0.	4.5177e-007
3	0.6	0.4	0.	-1.1387e-006
4	0.9	0.4	0.	-7.8401e-007
7	0.6	0.2	0.	4.5177e-007
8	0.9	0.2	0.	3.0744e-007
7	0.6	0.2	0.	4.5177e-007
8	0.9	0.2	0.	3.0744e-007
9	0.6	0.	0.	0.
10	0.9	0.	0.	0.
