Node Number	X Location (m)	Y Location (m)	Z Location (m)	Shear Stress (Pa)
1	0.	0.4	0.	-9.1407e+005
2	0.3	0.4	0.	-8.4944e+005
5	0.	0.2	0.	-9.8843e+005
6	0.3	0.2	0.	-9.238e+005
2	0.3	0.4	0.	5.0599e+005
3	0.6	0.4	0.	1.1853e+005
6	0.3	0.2	0.	6.7565e+005
7	0.6	0.2	0.	2.8819e+005
3	0.6	0.4	0.	70907
4	0.9	0.4	0.	1.722e+005
7	0.6	0.2	0.	-82692
8	0.9	0.2	0.	18599
7	0.6	0.2	0.	4.503e+005
8	0.9	0.2	0.	4.21e+005
9	0.6	0.	0.	2.2907e+005
10	0.9	0.	0.	1.9978e+005
