Node Number	X Location (m)	Y Location (m)	Z Location (m)	Shear Stress (Pa)
1	0.	0.4	0.	-8.9691e+005
2	0.3	0.4	0.	-2.3889e+005
5	0.	0.2	0.	-8.9691e+005
6	0.3	0.2	0.	-2.3889e+005
2	0.3	0.4	0.	-2.3889e+005
3	0.6	0.4	0.	2.127e+005
6	0.3	0.2	0.	-2.3889e+005
7	0.6	0.2	0.	2.4339e+005
3	0.6	0.4	0.	2.127e+005
4	0.9	0.4	0.	6272.7
7	0.6	0.2	0.	2.4339e+005
8	0.9	0.2	0.	1.5553e+005
7	0.6	0.2	0.	2.4339e+005
8	0.9	0.2	0.	1.5553e+005
9	0.6	0.	0.	3.0479e+005
10	0.9	0.	0.	3.0479e+005
