Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	0.4	0.	2.7191e+005
2	0.3	0.4	0.	-3.0311e+005
5	0.	0.2	0.	1.1372e+005
6	0.3	0.2	0.	1.8875e+005
2	0.3	0.4	0.	-3.0311e+005
3	0.6	0.4	0.	-2.8367e+005
6	0.3	0.2	0.	1.8875e+005
7	0.6	0.2	0.	-84928
3	0.6	0.4	0.	-2.8367e+005
4	0.9	0.4	0.	3.1078e+005
7	0.6	0.2	0.	-84928
8	0.9	0.2	0.	-2.5928e+005
7	0.6	0.2	0.	-84928
8	0.9	0.2	0.	-2.5928e+005
9	0.6	0.	0.	-1.6699e+005
10	0.9	0.	0.	-1.6699e+005
