Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	0.4	0.	74985
2	0.3	0.4	0.	3.4488e+005
5	0.	0.2	0.	74985
6	0.3	0.2	0.	3.4488e+005
2	0.3	0.4	0.	3.4488e+005
3	0.6	0.4	0.	-5.5195e+005
6	0.3	0.2	0.	3.4488e+005
7	0.6	0.2	0.	-7.2896e+005
3	0.6	0.4	0.	-5.5195e+005
4	0.9	0.4	0.	2.3444e+005
7	0.6	0.2	0.	-7.2896e+005
8	0.9	0.2	0.	2.293e+005
7	0.6	0.2	0.	-7.2896e+005
8	0.9	0.2	0.	2.293e+005
9	0.6	0.	0.	-1.083e+006
10	0.9	0.	0.	2.2416e+005
